populations,slug,name
2175601,paris,Paris
868277,marseille,Marseille
518635,lyon,Lyon
486828,toulouse,Toulouse
341032,nice,Nice
314138,nantes,Nantes
290053,montpellier,Montpellier
284677,strasbourg,Strasbourg
257068,bordeaux,Bordeaux
233098,lille,Lille
217728,rennes,Rennes
182211,reims,Reims
176198,toulon,Toulon
173089,saint-etienne,Saint-Étienne
169733,le-havre,Le Havre
157650,grenoble,Grenoble
156854,dijon,Dijon
154508,angers,Angers
150659,villeurbanne,Villeurbanne
150535,saint-denis,Saint-Denis
149633,nimes,Nîmes
146734,clermont-ferrand,Clermont-Ferrand
143252,le-mans,Le Mans
143097,aix-en-provence,Aix-en-Provence
139602,brest,Brest
136463,tours,Tours
133891,amiens,Amiens
131479,limoges,Limoges
128199,annecy,Annecy
121334,boulogne-billancourt,Boulogne-Billancourt
119188,perpignan,Perpignan
116775,besancon,Besançon
116581,metz,Metz
116238,orleans,Orléans
112091,saint-denis,Saint-Denis
111360,rouen,Rouen
110213,argenteuil,Argenteuil
109914,montreuil,Montreuil
108942,mulhouse,Mulhouse
105512,caen,Caen
104885,nancy,Nancy
103492,saint-paul,Saint-Paul
98089,roubaix,Roubaix
97442,tourcoing,Tourcoing
96807,nanterre,Nanterre
94649,vitry-sur-seine,Vitry-sur-Seine
92265,creteil,Créteil
91729,avignon,Avignon
88665,poitiers,Poitiers
87572,aubervilliers,Aubervilliers
86865,dunkerque,Dunkerque
86278,aulnay-sous-bois,Aulnay-sous-Bois
86052,colombes,Colombes
85946,asnieres-sur-seine,Asnières-sur-Seine
85205,versailles,Versailles
84961,saint-pierre,Saint-Pierre
82198,courbevoie,Courbevoie
79385,le-tampon,Le Tampon
79144,cherbourg-en-cotentin,Cherbourg-en-Cotentin
78126,fort-de-france,Fort-de-France
77986,rueil-malmaison,Rueil-Malmaison
77599,beziers,Béziers
77039,champigny-sur-marne,Champigny-sur-Marne
76275,pau,Pau
76114,la-rochelle,La Rochelle
75298,saint-maur-des-fosses,Saint-Maur-des-Fossés
73965,cannes,Cannes
72929,calais,Calais
72915,antibes,Antibes
72109,drancy,Drancy
71437,mamoudzou,Mamoudzou
70817,ajaccio,Ajaccio
70813,merignac,Mérignac
70619,saint-nazaire,Saint-Nazaire
68703,colmar,Colmar
68260,issy-les-moulineaux,Issy-les-Moulineaux
68126,noisy-le-grand,Noisy-le-Grand
67131,evry-courcouronnes,Évry-Courcouronnes
67129,venissieux,Vénissieux
66322,cergy,Cergy
65817,levallois-perret,Levallois-Perret
64726,valence,Valence
64668,bourges,Bourges
64374,pessac,Pessac
63652,cayenne,Cayenne
63309,ivry-sur-seine,Ivry-sur-Seine
63166,quimper,Quimper
62888,la-seyne-sur-mer,La Seyne-sur-Mer
62858,antony,Antony
62727,villeneuve-d-ascq,Villeneuve-d'Ascq
62485,clichy,Clichy
61996,troyes,Troyes
60952,montauban,Montauban
59940,neuilly-sur-seine,Neuilly-sur-Seine
59060,pantin,Pantin
59059,niort,Niort
58833,chambery,Chambéry
58811,sarcelles,Sarcelles
57150,le-blanc-mesnil,Le Blanc-Mesnil
57084,lorient,Lorient
56747,saint-andre,Saint-André
56605,beauvais,Beauvais
55899,maisons-alfort,Maisons-Alfort
55416,meaux,Meaux
55375,narbonne,Narbonne
55148,chelles,Chelles
55069,hyeres,Hyères
54964,villejuif,Villejuif
54771,epinay-sur-seine,Épinay-sur-Seine
